Name,Sector,Industry
"Asia Tigers Fund, Inc. (The)",n/a,n/a
"Aspen Aerogels, Inc.",Consumer Services,RETAIL: Building Materials
Aspen Insurance Holdings Limited,Finance,Property-Casualty Insurers
Aspen Insurance Holdings Limited,n/a,n/a
Aspen Insurance Holdings Limited,n/a,n/a
Aspen Insurance Holdings Limited,n/a,n/a
Associated Banc-Corp,Finance,Major Banks
Associated Banc-Corp,n/a,n/a
Associated Banc-Corp,n/a,n/a
"Associated Capital Group, Inc.",Finance,Investment Bankers/Brokers/Service
"Assurant, Inc.",Finance,Accident &Health Insurance
Assured Guaranty Ltd.,Finance,Property-Casualty Insurers
Assured Guaranty Ltd.,n/a,n/a
Assured Guaranty Ltd.,n/a,n/a
Assured Guaranty Ltd.,n/a,n/a
Astoria Financial Corporation,Finance,Savings Institutions
Astoria Financial Corporation,n/a,n/a
Astrazeneca PLC,Health Care,Major Pharmaceuticals
AT&T Inc.,Public Utilities,Telecommunications Equipment
Atento S.A.,Public Utilities,Telecommunications Equipment
Atlantic Power Corporation,Energy,Electric Utilities: Central
"Atlas Energy, L.P.",Energy,Oil & Gas Production
"Atlas Resource Partners, L.P.",Energy,Oil & Gas Production
"Atlas Resource Partners, L.P.",n/a,n/a
"Atlas Resource Partners, L.P.",n/a,n/a
Atmos Energy Corporation,Public Utilities,Oil/Gas Transmission
"Atwood Oceanics, Inc.",Energy,Oil & Gas Production
AU Optronics Corp,Technology,Semiconductors
Autohome Inc.,Technology,EDP Services
"Autoliv, Inc.",Capital Goods,Auto Parts:O.E.M.
"AutoNation, Inc.",Consumer Durables,Automotive Aftermarket
"AutoZone, Inc.",Consumer Services,Other Specialty Stores
"AvalonBay Communities, Inc.",Consumer Services,Real Estate Investment Trusts
"Avangrid, Inc.",Public Utilities,Electric Utilities: Central
Avenue Income Credit Strategies Fund,n/a,n/a
Avery Dennison Corporation,Consumer Durables,Containers/Packaging
AVG Technologies N.V.,Technology,Computer Software: Prepackaged Software
Avianca Holdings S.A.,Transportation,Air Freight/Delivery Services
Avista Corporation,Public Utilities,Power Generation
Aviva plc,Finance,Life Insurance
Aviva plc,Finance,Life Insurance
"Avnet, Inc.",Consumer Non-Durables,Electronic Components
"Avon Products, Inc.",Consumer Non-Durables,Package Goods/Cosmetics
AVX Corporation,Capital Goods,Electrical Products
Axalta Coating Systems Ltd.,Basic Industries,Paints/Coatings
Axiall Corporation,Basic Industries,Major Chemicals
Axis Capital Holdings Limited,Finance,Property-Casualty Insurers
Axis Capital Holdings Limited,n/a,n/a
Axis Capital Holdings Limited,n/a,n/a
"Azure Midstream Partners, LP",Public Utilities,Natural Gas Distribution
AZZ Inc.,Consumer Durables,Building Products
"B&G Foods, Inc.",Consumer Non-Durables,Packaged Foods
Babcock,Capital Goods,Building Products
Babson Capital Corporate Investors,n/a,n/a
Babson Capital Global Short Duration High Yield Fund,n/a,n/a
Babson Capital Participation Investors,Consumer Services,Miscellaneous
"Badger Meter, Inc.",Capital Goods,Industrial Machinery/Components
Baker Hughes Incorporated,Energy,Metal Fabrications
BalckRock Taxable Municipal Bond Trust,n/a,n/a
Ball Corporation,Consumer Durables,Containers/Packaging
Baltimore Gas & Electric Company,n/a,n/a
"Banc of California, Inc.",Finance,Major Banks
"Banc of California, Inc.",n/a,n/a
"Banc of California, Inc.",n/a,n/a
"Banc of California, Inc.",Finance,Major Banks
Banco Bilbao Viscaya Argentaria S.A.,Finance,Commercial Banks
Banco Bradesco Sa,Finance,Major Banks
Banco Bradesco Sa,Finance,Major Banks
Banco De Chile,Finance,Commercial Banks
"Banco Latinoamericano de Comercio Exterior, S.A.",Finance,Commercial Banks
Banco Santander Brasil SA,Finance,Commercial Banks
Banco Santander Chile,Finance,Commercial Banks
"Banco Santander, S.A.",Finance,Commercial Banks
"Banco Santander, S.A.",n/a,n/a
"Banco Santander, S.A.",n/a,n/a
"Banco Santander, S.A.",n/a,n/a
"Banco Santander, S.A.",n/a,n/a
BanColombia S.A.,Finance,Commercial Banks
"BancorpSouth, Inc.",Finance,Major Banks
Bank of America Corporation,Finance,Major Banks
Bank of America Corporation,n/a,n/a
Bank of America Corporation,n/a,n/a
Bank of America Corporation,n/a,n/a
Bank of America Corporation,n/a,n/a
Bank of America Corporation,n/a,n/a
Bank of America Corporation,n/a,n/a
Bank of America Corporation,Finance,Major Banks
Bank of America Corporation,Finance,Major Banks
Bank of America Corporation,n/a,n/a
Bank of America Corporation,n/a,n/a
Bank of America Corporation,n/a,n/a
Bank of America Corporation,n/a,n/a
Bank of America Corporation,n/a,n/a
Bank of America Corporation,n/a,n/a
Bank of Hawaii Corporation,Finance,Major Banks
Bank Of Montreal,Finance,Commercial Banks
Bank Of New York Mellon Corporation (The),Finance,Major Banks
Bank Of New York Mellon Corporation (The),n/a,n/a
Bank of Nova Scotia (The),Finance,Major Banks
"Bankrate, Inc.",Technology,EDP Services
"BankUnited, Inc.",Finance,Savings Institutions
Barclays PLC,Finance,Commercial Banks
Barclays PLC,n/a,n/a
Barclays PLC,n/a,n/a
Barclays PLC,n/a,n/a
Barclays PLC,n/a,n/a
"Barnes & Noble Education, Inc",Consumer Services,Other Specialty Stores
"Barnes & Noble, Inc.",Consumer Services,Other Specialty Stores
"Barnes Group, Inc.",Capital Goods,Metal Fabrications
"Barracuda Networks, Inc.",Technology,Computer peripheral equipment
Barrick Gold Corporation,Basic Industries,Precious Metals
"Basic Energy Services, Inc.",Energy,Oilfield Services/Equipment
Baxalta Incorporated,Health Care,Major Pharmaceuticals
Baxter International Inc.,Health Care,Medical/Dental Instruments
Baytex Energy Corp,Energy,Oil & Gas Production
BB&T Corporation,Finance,Major Banks
BB&T Corporation,n/a,n/a
BB&T Corporation,n/a,n/a
BB&T Corporation,n/a,n/a
BB&T Corporation,n/a,n/a
BBVA Banco Frances S.A.,Finance,Commercial Banks
BBX Capital Corporation,Finance,Savings Institutions
"BCE, Inc.",Public Utilities,Telecommunications Equipment
"Bear Stearns Depositor, Inc.",Finance,Finance: Consumer Services
"Beazer Homes USA, Inc.",Capital Goods,Homebuilding
"Becton, Dickinson and Company",Health Care,Medical/Dental Instruments
Belden Inc,Basic Industries,Telecommunications Equipment
Bellatrix Exploration Ltd,Energy,Oil & Gas Production
Belmond Ltd.,Consumer Services,Hotels/Resorts
"Bemis Company, Inc.",Consumer Durables,Containers/Packaging
"Benchmark Electronics, Inc.",Technology,Electrical Products
Berkshire Hathaway Inc.,n/a,n/a
Berkshire Hathaway Inc.,n/a,n/a
"Berkshire Hills Bancorp, Inc.",Finance,Banks
"Best Buy Co., Inc.",Consumer Services,Consumer Electronics/Video Chains
"BGC Partners, Inc.",Finance,Investment Bankers/Brokers/Service
BHP Billiton Limited,Basic Industries,Precious Metals
BHP Billiton plc,Energy,Coal Mining
"Big Lots, Inc.",Consumer Services,Department/Specialty Retail Stores
Biglari Holdings Inc.,Consumer Services,Restaurants
Bill Barrett Corporation,Energy,Oil & Gas Production
BioAmber Inc.,Basic Industries,Major Chemicals
BioAmber Inc.,n/a,n/a
Biomed Realty Trust,Consumer Services,Real Estate Investment Trusts
"Bio-Rad Laboratories, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments
"Bio-Rad Laboratories, Inc.",n/a,n/a
Bitauto Holdings Limited,Technology,EDP Services
Black Hills Corporation,Public Utilities,Electric Utilities: Central
Black Hills Corporation,Public Utilities,Electric Utilities: Central
"Black Knight Financial Services, Inc.",Technology,Computer Software: Prepackaged Software
"Black Stone Minerals, L.P.",Energy,Oil & Gas Production
Blackrock California Municipal 2018 Term Trust,n/a,n/a
BlackRock California Municipal Income Trust,n/a,n/a
Blackrock Capital and Income Strategies Fund Inc,n/a,n/a
Blackrock Core Bond Trust,n/a,n/a
"Blackrock Corporate High Yield Fund, Inc.",n/a,n/a
BlackRock Credit Allocation Income Trust,n/a,n/a
"Blackrock Debt Strategies Fund, Inc.",n/a,n/a
Blackrock Defined Opportunity Credit Trust,n/a,n/a
BlackRock Energy and Resources Trust,n/a,n/a
Blackrock Enhanced Equity Dividend Trust,n/a,n/a
"Blackrock Enhanced Government Fund, Inc",n/a,n/a
Blackrock Floating Rate Income Strategies Fund Inc,n/a,n/a
Blackrock Florida Municipal 2020 Term Trust,n/a,n/a
Blackrock Global,n/a,n/a
Blackrock Global,n/a,n/a
Blackrock Health Sciences Trust,n/a,n/a
BlackRock Income Investment Quality Trust,n/a,n/a
BlackRock Income Trust Inc. (The),n/a,n/a
"BLACKROCK INTERNATIONAL, LTD.",n/a,n/a
BlackRock Investment Quality Municipal Trust Inc. (The),n/a,n/a
BlackRock Long-Term Municipal Advantage Trust,n/a,n/a
BlackRock Multi-Sector Income Trust,n/a,n/a
Blackrock Muni Intermediate Duration Fund Inc,n/a,n/a
Blackrock Muni New York Intermediate Duration Fund Inc,n/a,n/a
"Blackrock MuniAssets Fund, Inc.",n/a,n/a
Blackrock Municipal 2018 Term Trust,n/a,n/a
Blackrock Municipal 2020 Term Trust,n/a,n/a
Blackrock Municipal Bond Investment Trust,n/a,n/a
Blackrock Municipal Bond Trust,n/a,n/a
BlackRock Municipal Income Investment Trust,n/a,n/a
Blackrock Municipal Income Quality Trust,n/a,n/a
BlackRock Municipal Income Trust,n/a,n/a
BlackRock Municipal Target Term Trust Inc. (The),n/a,n/a
"Blackrock MuniEnhanced Fund, Inc.",n/a,n/a
"Blackrock MuniHoldings California Quality Fund,  Inc.",n/a,n/a
"Blackrock MuniHoldings Fund II, Inc.",n/a,n/a
"Blackrock MuniHoldings Fund, Inc.",n/a,n/a
Blackrock MuniHoldings Investment Quality Fund,n/a,n/a
"Blackrock MuniHoldings New Jersey Insured Fund, Inc.",n/a,n/a
"Blackrock MuniHoldings New York Quality Fund, Inc.",n/a,n/a
"Blackrock MuniHoldings Quality Fund II, Inc.",n/a,n/a
"Blackrock MuniHoldings Quality Fund, Inc.",n/a,n/a
"Blackrock MuniVest Fund II, Inc.",n/a,n/a
"Blackrock MuniYield California Fund, Inc.",n/a,n/a
"Blackrock MuniYield California Insured Fund, Inc.",n/a,n/a
"Blackrock MuniYield Fund, Inc.",n/a,n/a
Blackrock MuniYield Investment Fund,n/a,n/a
